v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,2750,0x7ff6e829ca60,1648,RecordWrite
code-creation,Builtin,3,2829,0x7ff6e829d0e0,428,EphemeronKeyBarrier
code-creation,Builtin,3,2865,0x7ff6e829d2a0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2897,0x7ff6e829d2e0,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2929,0x7ff6e829d420,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2961,0x7ff6e829d500,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2993,0x7ff6e829d620,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3230,0x7ff6e829d760,159,CallBoundFunction
code-creation,Builtin,3,3248,0x7ff6e829d800,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3264,0x7ff6e829d880,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3279,0x7ff6e829d900,109,Call_ReceiverIsAny
code-creation,Builtin,3,3294,0x7ff6e829d980,866,CallProxy
code-creation,Builtin,3,3309,0x7ff6e829dd00,75,CallVarargs
code-creation,Builtin,3,3323,0x7ff6e829dd60,1064,CallWithSpread
code-creation,Builtin,3,3338,0x7ff6e829e1a0,930,CallWithArrayLike
code-creation,Builtin,3,3353,0x7ff6e829e560,100,CallForwardVarargs
code-creation,Builtin,3,3368,0x7ff6e829e5e0,100,CallFunctionForwardVarargs
code-creation,Builtin,3,3383,0x7ff6e829e660,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,3398,0x7ff6e829e700,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,3414,0x7ff6e829e800,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,3431,0x7ff6e829e960,26,ConstructFunction
code-creation,Builtin,3,3445,0x7ff6e829e980,159,ConstructBoundFunction
code-creation,Builtin,3,3460,0x7ff6e829ea20,28,ConstructedNonConstructable
code-creation,Builtin,3,3479,0x7ff6e829ea40,90,Construct
code-creation,Builtin,3,3494,0x7ff6e829eaa0,75,ConstructVarargs
code-creation,Builtin,3,3508,0x7ff6e829eb00,1084,ConstructWithSpread
code-creation,Builtin,3,3523,0x7ff6e829ef40,1008,ConstructWithArrayLike
code-creation,Builtin,3,3538,0x7ff6e829f340,139,ConstructForwardVarargs
code-creation,Builtin,3,3553,0x7ff6e829f3e0,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,3568,0x7ff6e829f480,328,JSConstructStubGeneric
code-creation,Builtin,3,3583,0x7ff6e829f5e0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,3597,0x7ff6e829f6e0,735,FastNewObject
code-creation,Builtin,3,3612,0x7ff6e829f9c0,305,FastNewClosure
code-creation,Builtin,3,3626,0x7ff6e829fb00,209,FastNewFunctionContextEval
code-creation,Builtin,3,3641,0x7ff6e829fbe0,209,FastNewFunctionContextFunction
code-creation,Builtin,3,3656,0x7ff6e829fcc0,238,CreateRegExpLiteral
code-creation,Builtin,3,3675,0x7ff6e829fdc0,562,CreateEmptyArrayLiteral
code-creation,Builtin,3,3690,0x7ff6e82a0000,1136,CreateShallowArrayLiteral
code-creation,Builtin,3,3705,0x7ff6e82a0480,1884,CreateShallowObjectLiteral
code-creation,Builtin,3,3720,0x7ff6e82a0be0,854,ConstructProxy
code-creation,Builtin,3,3735,0x7ff6e82a0f40,356,JSEntry
code-creation,Builtin,3,3749,0x7ff6e82a10c0,356,JSConstructEntry
code-creation,Builtin,3,3763,0x7ff6e82a1240,356,JSRunMicrotasksEntry
code-creation,Builtin,3,3778,0x7ff6e82a13c0,99,JSEntryTrampoline
code-creation,Builtin,3,3792,0x7ff6e82a1440,99,JSConstructEntryTrampoline
